"კითხვა","პასუხი"
"რომელია თქვენი ცხელი ხაზის ნომერი?","ცხელი ხაზი მუშაობს 24/7: (032) 2 55 10 10 ან მოკლე ნომერი *1010 ნებისმიერი ქართული მობილურიდან. ზარალის შესახებ შეტყობინება მიიღება დღე-ღამის ნებისმიერ დროს."
"სად არის თქვენი ფილიალები?","თბილისში ორი ფილიალია — ვაკე (ჭავჭავაძის გამზ. 74, სათაო ოფისი) და გლდანი (ვეკუას ქ. 12); ასევე ბათუმში (ჭავჭავაძის ქ. 25), ქუთაისსა (რუსთაველის გამზ. 8) და რუსთავში (კოსტავას ქ. 3). კვირას ყველა ფილიალი დაკეტილია."
"რა საათებში მუშაობს სათაო ოფისი?","ვაკის სათაო ოფისი მუშაობს ორშაბათიდან პარასკევის ჩათვლით 09:30–18:30 და შაბათს 10:00–15:00. კვირა დასვენების დღეა."
"რა არის ფრანშიზა?","ფრანშიზა (თანამონაწილეობა) არის ზარალის ის ნაწილი, რომელსაც თავად იხდით და რომელიც ანაზღაურებიდან გამოიქვითება. მაგალითად, 300-ლარიანი ფრანშიზისას 2 000 ლარის ზარალზე მიიღებთ 1 700 ლარს. რაც უფრო მაღალია ფრანშიზა, მით უფრო დაბალია პრემია."
"კასკოს ფრანშიზა რამდენია?","კასკოზე ფრანშიზა არჩევადია: 0, 150, 300 ან 500 ლარი. სტანდარტული ფრანშიზა 300 ლარია. მინის დაზიანებაზე წელიწადში ერთხელ ფრანშიზა არ გამოიქვითება."
"რა ღირს კასკო?","კასკოს წლიური პრემია ავტომობილის საბაზრო ღირებულების 3,5%–5,5%-ია. ზუსტი ტარიფი დამოკიდებულია ავტომობილის ასაკზე, მძღოლის გამოცდილებაზე და არჩეულ ფრანშიზაზე. მაგალითად, 30 000 ლარიანი ავტომობილისთვის პრემია 1 050-დან 1 650 ლარამდეა წელიწადში."
"რამდენი წლის ავტომობილს აზღვევთ კასკოთი?","კასკოთი იზღვევა არაუმეტეს 12 წლის ავტომობილი, საბაზრო ღირებულებით 5 000-დან 250 000 ლარამდე."
"კასკო ფარავს ავტომობილს თურქეთში?","სტანდარტული კასკო მოქმედებს მხოლოდ საქართველოს ტერიტორიაზე. თურქეთის, სომხეთისა და აზერბაიჯანის ტერიტორიაზე გავრცელება შესაძლებელია პრემიის 15%-ის დამატებით."
"ავარიის შემდეგ რამდენ ხანში უნდა შეგატყობინოთ?","ავტოსაგზაო შემთხვევის შესახებ შეგვატყობინეთ 24 საათის განმავლობაში ცხელ ხაზზე *1010 ან zarali@alioni-demo.ge-ზე. მესამე პირის მონაწილეობით ავარიისას და ქურდობისას სავალდებულოა პატრულის გამოძახება."
"პატრული აუცილებლად უნდა გამოვიძახო?","თუ ავარიაში მესამე პირი მონაწილეობს ან ავტომობილი მოიპარეს — დიახ, პოლიციის ცნობა სავალდებულოა. თუ მხოლოდ თქვენი ავტომობილი დაზიანდა, მაგალითად პარკირებაზე დაეჯახეთ, საკმარისია ფოტოები."
"რამდენ ხანში მიიღება გადაწყვეტილება კასკოს ზარალზე?","ჩვენი ექსპერტი ავტომობილს 2 სამუშაო დღეში დაათვალიერებს, ხოლო ანაზღაურების გადაწყვეტილება მიიღება სრული დოკუმენტაციის წარდგენიდან 10 სამუშაო დღეში. თანხა ჩაირიცხება გადაწყვეტილებიდან 5 სამუშაო დღეში."
"რა არის სრული განადგურება კასკოზე?","თუ შეკეთების ღირებულება აღემატება ავტომობილის საბაზრო ღირებულების 70%-ს, ავტომობილი სრულად განადგურებულად ითვლება და გადაიხდება მისი საბაზრო ღირებულება ზარალის დღეს, ფრანშიზის გამოკლებით."
"რა ღირს ავტოპასუხისმგებლობის დაზღვევა?","მესამე პირის წინაშე პასუხისმგებლობის წლიური პრემია დამოკიდებულია ლიმიტზე: 30 000 ლარი — 95 ლარი, 50 000 ლარი — 140 ლარი, 100 000 ლარი — 220 ლარი. ფრანშიზა არ არის, პოლისი გაიცემა ონლაინ 3 წუთში."
"ავტოპასუხისმგებლობის პოლისი ჩემს ავტომობილს ფარავს?","არა. ავტოპასუხისმგებლობის პოლისი ფარავს მხოლოდ იმ ზიანს, რომელიც თქვენ სხვის ავტომობილს, ქონებას ან ჯანმრთელობას მიაყენეთ. საკუთარი ავტომობილის დასაზღვევად საჭიროა კასკო."
